TASK_CODE,ACTIVITY_CODE,DESCRIPTION
TR100,A107,Coordinating foreign trademark filings with local counsel
TR100,A106,Coordinating foreign trademark filings with local counsel
TR100,A103,Reviewing specimen of use and drafting statement of use
TR100,A107,Advising client on Madrid Protocol filing strategy
TR100,A107,Preparing declaration of use and renewal documentation
TR100,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A106,Advising client on Madrid Protocol filing strategy
TR100,A101,Coordinating foreign trademark filings with local counsel
TR100,A107,Advising client on Madrid Protocol filing strategy
TR100,A105,Reviewing specimen of use and drafting statement of use
TR100,A104,Monitoring trademark docket and updating deadlines
TR100,A106,Drafting cease and desist letter regarding mark infringement
TR100,A105,Drafting and filing USPTO trademark application
TR100,A103,Preparing declaration of use and renewal documentation
TR100,A102,Preparing declaration of use and renewal documentation
TR100,A106,Drafting response to descriptiveness refusal
TR100,A106,Drafting and filing USPTO trademark application
TR100,A101,Reviewing specimen of use and drafting statement of use
TR100,A106,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A103,Drafting cease and desist letter regarding mark infringement
TR100,A103,Coordinating foreign trademark filings with local counsel
TR100,A106,Monitoring trademark docket and updating deadlines
TR100,A101,Reviewing specimen of use and drafting statement of use
TR100,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A106,Conducting preliminary trademark clearance search
TR100,A105,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A106,Conducting preliminary trademark clearance search
TR100,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A104,Drafting and filing USPTO trademark application
TR100,A103,Advising client on Madrid Protocol filing strategy
TR100,A107,Drafting cease and desist letter regarding mark infringement
TR100,A106,Drafting response to descriptiveness refusal
TR100,A104,Drafting response to descriptiveness refusal
TR100,A102,Drafting and filing USPTO trademark application
TR100,A107,Reviewing specimen of use and drafting statement of use
TR100,A105,Preparing declaration of use and renewal documentation
TR100,A106,Preparing declaration of use and renewal documentation
TR100,A107,Reviewing specimen of use and drafting statement of use
TR100,A101,Reviewing specimen of use and drafting statement of use
TR100,A101,Monitoring trademark docket and updating deadlines
TR100,A107,Reviewing specimen of use and drafting statement of use
TR100,A104,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A107,Preparing declaration of use and renewal documentation
TR100,A101,Drafting response to descriptiveness refusal
TR100,A106,Preparing declaration of use and renewal documentation
TR100,A101,Conducting preliminary trademark clearance search
TR100,A101,Advising client on Madrid Protocol filing strategy
TR100,A105,Conducting preliminary trademark clearance search
TR100,A103,Drafting and filing USPTO trademark application
TR100,A103,Drafting cease and desist letter regarding mark infringement
TR100,A105,Drafting cease and desist letter regarding mark infringement
TR100,A103,Monitoring trademark docket and updating deadlines
TR100,A105,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A102,Drafting and filing USPTO trademark application
TR100,A101,Drafting cease and desist letter regarding mark infringement
TR100,A105,Preparing declaration of use and renewal documentation
TR100,A104,Reviewing specimen of use and drafting statement of use
TR100,A107,Preparing declaration of use and renewal documentation
TR100,A105,Advising client on Madrid Protocol filing strategy
TR100,A107,Drafting and filing USPTO trademark application
TR100,A101,Drafting and filing USPTO trademark application
TR100,A104,Advising client on Madrid Protocol filing strategy
TR100,A104,Preparing declaration of use and renewal documentation
TR100,A101,Drafting and filing USPTO trademark application
TR100,A105,Drafting cease and desist letter regarding mark infringement
TR100,A101,Coordinating foreign trademark filings with local counsel
TR100,A105,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A107,Drafting response to descriptiveness refusal
TR100,A101,Drafting response to descriptiveness refusal
TR100,A106,Monitoring trademark docket and updating deadlines
TR100,A107,Advising client on Madrid Protocol filing strategy
TR100,A101,Reviewing specimen of use and drafting statement of use
TR100,A102,Advising client on Madrid Protocol filing strategy
TR100,A105,Preparing declaration of use and renewal documentation
TR100,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A102,Drafting cease and desist letter regarding mark infringement
TR100,A105,Monitoring trademark docket and updating deadlines
TR100,A101,Drafting cease and desist letter regarding mark infringement
TR100,A107,Monitoring trademark docket and updating deadlines
TR100,A103,Drafting cease and desist letter regarding mark infringement
TR100,A101,Reviewing specimen of use and drafting statement of use
TR100,A105,Drafting and filing USPTO trademark application
TR100,A103,Coordinating foreign trademark filings with local counsel
TR100,A105,Conducting preliminary trademark clearance search
TR100,A107,Conducting preliminary trademark clearance search
TR100,A106,Conducting preliminary trademark clearance search
TR100,A104,Preparing declaration of use and renewal documentation
TR100,A101,Drafting and filing USPTO trademark application
TR100,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A101,Preparing declaration of use and renewal documentation
TR100,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A102,Reviewing specimen of use and drafting statement of use
TR100,A101,Drafting cease and desist letter regarding mark infringement
TR100,A106,Monitoring trademark docket and updating deadlines
TR100,A101,Conducting preliminary trademark clearance search
TR100,A107,Advising client on Madrid Protocol filing strategy
TR100,A107,Coordinating foreign trademark filings with local counsel
TR100,A102,Coordinating foreign trademark filings with local counsel
TR100,A101,Drafting cease and desist letter regarding mark infringement
TR100,A103,Reviewing specimen of use and drafting statement of use
TR100,A107,Drafting and filing USPTO trademark application
TR100,A105,Monitoring trademark docket and updating deadlines
TR100,A103,Drafting cease and desist letter regarding mark infringement
TR100,A105,Conducting preliminary trademark clearance search
TR100,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A105,Reviewing specimen of use and drafting statement of use
TR100,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR100,A103,Conducting preliminary trademark clearance search
TR100,A102,Monitoring trademark docket and updating deadlines
TR100,A106,Reviewing specimen of use and drafting statement of use
TR100,A104,Monitoring trademark docket and updating deadlines
TR100,A107,Drafting cease and desist letter regarding mark infringement
TR100,A107,Monitoring trademark docket and updating deadlines
TR100,A104,Advising client on Madrid Protocol filing strategy
TR100,A105,Advising client on Madrid Protocol filing strategy
TR100,A107,Drafting and filing USPTO trademark application
TR100,A103,Drafting and filing USPTO trademark application
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A105,Conducting preliminary trademark clearance search
TR110,A103,Coordinating foreign trademark filings with local counsel
TR110,A101,Preparing declaration of use and renewal documentation
TR110,A104,Drafting response to descriptiveness refusal
TR110,A104,Monitoring trademark docket and updating deadlines
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A105,Drafting and filing USPTO trademark application
TR110,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Reviewing specimen of use and drafting statement of use
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A104,Reviewing specimen of use and drafting statement of use
TR110,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Coordinating foreign trademark filings with local counsel
TR110,A102,Drafting and filing USPTO trademark application
TR110,A103,Drafting response to descriptiveness refusal
TR110,A103,Advising client on Madrid Protocol filing strategy
TR110,A106,Drafting and filing USPTO trademark application
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A105,Conducting preliminary trademark clearance search
TR110,A105,Reviewing specimen of use and drafting statement of use
TR110,A104,Advising client on Madrid Protocol filing strategy
TR110,A104,Coordinating foreign trademark filings with local counsel
TR110,A104,Coordinating foreign trademark filings with local counsel
TR110,A105,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Coordinating foreign trademark filings with local counsel
TR110,A104,Monitoring trademark docket and updating deadlines
TR110,A105,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Reviewing specimen of use and drafting statement of use
TR110,A104,Advising client on Madrid Protocol filing strategy
TR110,A104,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A107,Drafting cease and desist letter regarding mark infringement
TR110,A106,Preparing declaration of use and renewal documentation
TR110,A106,Reviewing specimen of use and drafting statement of use
TR110,A102,Reviewing specimen of use and drafting statement of use
TR110,A107,Drafting and filing USPTO trademark application
TR110,A101,Advising client on Madrid Protocol filing strategy
TR110,A103,Drafting and filing USPTO trademark application
TR110,A102,Drafting response to descriptiveness refusal
TR110,A101,Coordinating foreign trademark filings with local counsel
TR110,A106,Conducting preliminary trademark clearance search
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A105,Advising client on Madrid Protocol filing strategy
TR110,A102,Preparing declaration of use and renewal documentation
TR110,A104,Drafting cease and desist letter regarding mark infringement
TR110,A105,Coordinating foreign trademark filings with local counsel
TR110,A101,Drafting response to descriptiveness refusal
TR110,A103,Reviewing specimen of use and drafting statement of use
TR110,A104,Drafting cease and desist letter regarding mark infringement
TR110,A101,Drafting cease and desist letter regarding mark infringement
TR110,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A104,Drafting response to descriptiveness refusal
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A105,Advising client on Madrid Protocol filing strategy
TR110,A107,Conducting preliminary trademark clearance search
TR110,A103,Conducting preliminary trademark clearance search
TR110,A104,Drafting and filing USPTO trademark application
TR110,A103,Conducting preliminary trademark clearance search
TR110,A102,Preparing declaration of use and renewal documentation
TR110,A105,Conducting preliminary trademark clearance search
TR110,A103,Reviewing specimen of use and drafting statement of use
TR110,A105,Drafting cease and desist letter regarding mark infringement
TR110,A101,Drafting and filing USPTO trademark application
TR110,A105,Preparing declaration of use and renewal documentation
TR110,A101,Conducting preliminary trademark clearance search
TR110,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A106,Monitoring trademark docket and updating deadlines
TR110,A103,Conducting preliminary trademark clearance search
TR110,A101,Monitoring trademark docket and updating deadlines
TR110,A105,Conducting preliminary trademark clearance search
TR110,A106,Monitoring trademark docket and updating deadlines
TR110,A107,Reviewing specimen of use and drafting statement of use
TR110,A103,Drafting cease and desist letter regarding mark infringement
TR110,A106,Advising client on Madrid Protocol filing strategy
TR110,A107,Drafting cease and desist letter regarding mark infringement
TR110,A101,Advising client on Madrid Protocol filing strategy
TR110,A104,Advising client on Madrid Protocol filing strategy
TR110,A104,Coordinating foreign trademark filings with local counsel
TR110,A105,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Reviewing specimen of use and drafting statement of use
TR110,A101,Drafting cease and desist letter regarding mark infringement
TR110,A107,Drafting cease and desist letter regarding mark infringement
TR110,A105,Drafting response to descriptiveness refusal
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Coordinating foreign trademark filings with local counsel
TR110,A105,Coordinating foreign trademark filings with local counsel
TR110,A106,Drafting response to descriptiveness refusal
TR110,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A101,Reviewing specimen of use and drafting statement of use
TR110,A102,Coordinating foreign trademark filings with local counsel
TR110,A105,Reviewing specimen of use and drafting statement of use
TR110,A103,Preparing declaration of use and renewal documentation
TR110,A106,Coordinating foreign trademark filings with local counsel
TR110,A106,Drafting response to descriptiveness refusal
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Drafting cease and desist letter regarding mark infringement
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A104,Drafting response to descriptiveness refusal
TR110,A105,Preparing declaration of use and renewal documentation
TR110,A107,Preparing declaration of use and renewal documentation
TR110,A107,Drafting and filing USPTO trademark application
TR110,A106,Coordinating foreign trademark filings with local counsel
TR110,A103,Drafting response to descriptiveness refusal
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A106,Conducting preliminary trademark clearance search
TR110,A101,Advising client on Madrid Protocol filing strategy
TR110,A101,Advising client on Madrid Protocol filing strategy
TR110,A107,Drafting and filing USPTO trademark application
TR110,A104,Drafting cease and desist letter regarding mark infringement
TR110,A105,Drafting response to descriptiveness refusal
TR110,A103,Conducting preliminary trademark clearance search
TR110,A101,Reviewing specimen of use and drafting statement of use
TR110,A103,Preparing declaration of use and renewal documentation
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Conducting preliminary trademark clearance search
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A106,Advising client on Madrid Protocol filing strategy
TR110,A103,Monitoring trademark docket and updating deadlines
TR110,A107,Drafting response to descriptiveness refusal
TR110,A105,Preparing declaration of use and renewal documentation
TR110,A107,Drafting cease and desist letter regarding mark infringement
TR110,A102,Coordinating foreign trademark filings with local counsel
TR110,A106,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Advising client on Madrid Protocol filing strategy
TR110,A103,Reviewing specimen of use and drafting statement of use
TR110,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A101,Drafting response to descriptiveness refusal
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A101,Reviewing specimen of use and drafting statement of use
TR110,A102,Coordinating foreign trademark filings with local counsel
TR110,A101,Monitoring trademark docket and updating deadlines
TR110,A105,Drafting cease and desist letter regarding mark infringement
TR110,A104,Conducting preliminary trademark clearance search
TR110,A102,Conducting preliminary trademark clearance search
TR110,A107,Coordinating foreign trademark filings with local counsel
TR110,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A103,Reviewing specimen of use and drafting statement of use
TR110,A102,Monitoring trademark docket and updating deadlines
TR110,A101,Conducting preliminary trademark clearance search
TR110,A102,Drafting response to descriptiveness refusal
TR110,A102,Preparing declaration of use and renewal documentation
TR110,A103,Conducting preliminary trademark clearance search
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A101,Advising client on Madrid Protocol filing strategy
TR110,A107,Drafting cease and desist letter regarding mark infringement
TR110,A104,Reviewing specimen of use and drafting statement of use
TR110,A107,Preparing declaration of use and renewal documentation
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A106,Conducting preliminary trademark clearance search
TR110,A101,Preparing declaration of use and renewal documentation
TR110,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Drafting cease and desist letter regarding mark infringement
TR110,A106,Drafting response to descriptiveness refusal
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A104,Coordinating foreign trademark filings with local counsel
TR110,A107,Advising client on Madrid Protocol filing strategy
TR110,A102,Reviewing specimen of use and drafting statement of use
TR110,A107,Conducting preliminary trademark clearance search
TR110,A102,Coordinating foreign trademark filings with local counsel
TR110,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A104,Conducting preliminary trademark clearance search
TR110,A103,Conducting preliminary trademark clearance search
TR110,A103,Preparing declaration of use and renewal documentation
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A104,Drafting cease and desist letter regarding mark infringement
TR110,A102,Monitoring trademark docket and updating deadlines
TR110,A106,Drafting and filing USPTO trademark application
TR110,A107,Coordinating foreign trademark filings with local counsel
TR110,A105,Monitoring trademark docket and updating deadlines
TR110,A107,Drafting cease and desist letter regarding mark infringement
TR110,A106,Monitoring trademark docket and updating deadlines
TR110,A106,Conducting preliminary trademark clearance search
TR110,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A106,Coordinating foreign trademark filings with local counsel
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A102,Drafting response to descriptiveness refusal
TR110,A107,Reviewing specimen of use and drafting statement of use
TR110,A106,Drafting and filing USPTO trademark application
TR110,A105,Reviewing specimen of use and drafting statement of use
TR110,A103,Conducting preliminary trademark clearance search
TR110,A104,Conducting preliminary trademark clearance search
TR110,A107,Reviewing specimen of use and drafting statement of use
TR110,A106,Reviewing specimen of use and drafting statement of use
TR110,A102,Monitoring trademark docket and updating deadlines
TR110,A103,Preparing declaration of use and renewal documentation
TR110,A101,Drafting cease and desist letter regarding mark infringement
TR110,A103,Advising client on Madrid Protocol filing strategy
TR110,A105,Drafting cease and desist letter regarding mark infringement
TR110,A104,Drafting and filing USPTO trademark application
TR110,A107,Drafting response to descriptiveness refusal
TR110,A103,Monitoring trademark docket and updating deadlines
TR110,A105,Coordinating foreign trademark filings with local counsel
TR110,A102,Drafting cease and desist letter regarding mark infringement
TR110,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A101,Reviewing specimen of use and drafting statement of use
TR110,A107,Coordinating foreign trademark filings with local counsel
TR110,A103,Advising client on Madrid Protocol filing strategy
TR110,A101,Reviewing specimen of use and drafting statement of use
TR110,A105,Drafting cease and desist letter regarding mark infringement
TR110,A107,Reviewing specimen of use and drafting statement of use
TR110,A102,Drafting cease and desist letter regarding mark infringement
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A102,Preparing declaration of use and renewal documentation
TR110,A104,Preparing declaration of use and renewal documentation
TR110,A107,Drafting response to descriptiveness refusal
TR110,A107,Advising client on Madrid Protocol filing strategy
TR110,A106,Coordinating foreign trademark filings with local counsel
TR110,A101,Drafting and filing USPTO trademark application
TR110,A101,Coordinating foreign trademark filings with local counsel
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A105,Coordinating foreign trademark filings with local counsel
TR110,A106,Drafting cease and desist letter regarding mark infringement
TR110,A107,Conducting preliminary trademark clearance search
TR110,A102,Drafting cease and desist letter regarding mark infringement
TR110,A107,Preparing declaration of use and renewal documentation
TR110,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A104,Advising client on Madrid Protocol filing strategy
TR110,A106,Reviewing specimen of use and drafting statement of use
TR110,A102,Drafting cease and desist letter regarding mark infringement
TR110,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A102,Reviewing specimen of use and drafting statement of use
TR110,A107,Monitoring trademark docket and updating deadlines
TR110,A101,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A104,Drafting response to descriptiveness refusal
TR110,A105,Preparing declaration of use and renewal documentation
TR110,A102,Drafting response to descriptiveness refusal
TR110,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR110,A101,Drafting cease and desist letter regarding mark infringement
TR110,A105,Reviewing specimen of use and drafting statement of use
TR110,A107,Advising client on Madrid Protocol filing strategy
TR110,A102,Reviewing specimen of use and drafting statement of use
TR110,A101,Advising client on Madrid Protocol filing strategy
TR110,A106,Preparing declaration of use and renewal documentation
TR110,A103,Drafting cease and desist letter regarding mark infringement
TR110,A105,Drafting and filing USPTO trademark application
TR110,A101,Drafting cease and desist letter regarding mark infringement
TR120,A104,Coordinating foreign trademark filings with local counsel
TR120,A107,Coordinating foreign trademark filings with local counsel
TR120,A102,Responding to USPTO Office Action regarding likelihood of confusion
TR120,A104,Responding to USPTO Office Action regarding likelihood of confusion
TR120,A105,Drafting and filing USPTO trademark application
TR120,A105,Drafting response to descriptiveness refusal
TR120,A107,Reviewing specimen of use and drafting statement of use
TR120,A107,Conducting preliminary trademark clearance search
TR120,A105,Drafting cease and desist letter regarding mark infringement
TR120,A102,Drafting response to descriptiveness refusal
TR120,A101,Coordinating foreign trademark filings with local counsel
TR120,A101,Advising client on Madrid Protocol filing strategy
TR120,A102,Monitoring trademark docket and updating deadlines
TR120,A105,Drafting cease and desist letter regarding mark infringement
TR120,A103,Coordinating foreign trademark filings with local counsel
TR120,A107,Conducting preliminary trademark clearance search
TR120,A103,Advising client on Madrid Protocol filing strategy
TR120,A102,Drafting cease and desist letter regarding mark infringement
TR120,A105,Reviewing specimen of use and drafting statement of use
TR120,A104,Reviewing specimen of use and drafting statement of use
TR120,A106,Reviewing specimen of use and drafting statement of use
TR120,A103,Advising client on Madrid Protocol filing strategy
TR120,A103,Drafting and filing USPTO trademark application
TR120,A106,Monitoring trademark docket and updating deadlines
TR120,A106,Reviewing specimen of use and drafting statement of use
TR120,A106,Coordinating foreign trademark filings with local counsel
TR120,A104,Preparing declaration of use and renewal documentation
TR120,A105,Reviewing specimen of use and drafting statement of use
TR120,A104,Reviewing specimen of use and drafting statement of use
TR120,A107,Drafting response to descriptiveness refusal
TR120,A103,Drafting response to descriptiveness refusal
TR120,A105,Drafting and filing USPTO trademark application
TR120,A104,Monitoring trademark docket and updating deadlines
TR120,A103,Coordinating foreign trademark filings with local counsel
TR120,A106,Drafting cease and desist letter regarding mark infringement
TR120,A105,Conducting preliminary trademark clearance search
TR120,A101,Reviewing specimen of use and drafting statement of use
TR120,A105,Advising client on Madrid Protocol filing strategy
TR120,A103,Conducting preliminary trademark clearance search
TR120,A107,Preparing declaration of use and renewal documentation
TR120,A103,Reviewing specimen of use and drafting statement of use
TR120,A106,Advising client on Madrid Protocol filing strategy
TR120,A107,Advising client on Madrid Protocol filing strategy
TR120,A106,Reviewing specimen of use and drafting statement of use
TR120,A104,Conducting preliminary trademark clearance search
TR120,A101,Preparing declaration of use and renewal documentation
TR120,A103,Responding to USPTO Office Action regarding likelihood of confusion
TR120,A105,Drafting cease and desist letter regarding mark infringement
TR120,A106,Advising client on Madrid Protocol filing strategy
TR120,A107,Reviewing specimen of use and drafting statement of use
TR120,A107,Preparing declaration of use and renewal documentation
TR120,A107,Responding to USPTO Office Action regarding likelihood of confusion
TR120,A106,Drafting and filing USPTO trademark application
TR120,A106,Conducting preliminary trademark clearance search
TR120,A105,Preparing declaration of use and renewal documentation
TR120,A106,Responding to USPTO Office Action regarding likelihood of confusion
TR120,A106,Reviewing specimen of use and drafting statement of use
TR120,A104,Reviewing specimen of use and drafting statement of use
TR120,A103,Conducting preliminary trademark clearance search
